,Vessel_Name,URL
0,ASIAN EXPLORER,https://www.myshiptracking.com/vessels/vessels/asian-explorer-mmsi-370343000-imo-9448061
1,LIMERICK,https://www.myshiptracking.com/vessels/vessels/limerick-mmsi-368133940-imo-
2,TRICIA II,https://www.myshiptracking.com/vessels/vessels/tricia-ii-mmsi-338411853-imo-
3,ZEBRINA,https://www.myshiptracking.com/vessels/vessels/zebrina-mmsi-366773480-imo-
4,SEAVOYAGER,https://www.myshiptracking.com/vessels/vessels/seavoyager-mmsi-256439000-imo-9318096
5,L518ANNETTE,https://www.myshiptracking.com/vessels/vessels/l518annette-mmsi-219065000-imo-0
6,CLONTARF,https://www.myshiptracking.com/vessels/vessels/clontarf-mmsi-503106810-imo-0
7,SIMUL FORTI,https://www.myshiptracking.com/vessels/vessels/simul-forti-mmsi-244721464-imo-0
8,GRAND ACE1,https://www.myshiptracking.com/vessels/vessels/grand-ace1-mmsi-441888000-imo-9346067
9,EBBA,https://www.myshiptracking.com/vessels/vessels/ebba-mmsi-265549580-imo-7812555
10,RESCUE TRONDHEIM SAR,https://www.myshiptracking.com/vessels/vessels/rescue-trondheim-sar-mmsi-257508700-imo-0
11,JOLLY REBECCA,https://www.myshiptracking.com/vessels/vessels/jolly-rebecca-mmsi-457358000-imo-
12,OUR TIME,https://www.myshiptracking.com/vessels/vessels/our-time-mmsi-316053673-imo-
13,CATHARINA,https://www.myshiptracking.com/vessels/vessels/catharina-mmsi-244660571-imo-0
14,TB MBP3238,https://www.myshiptracking.com/vessels/vessels/tb-mbp3238-mmsi-525801121-imo-1063877
15,SMALAND,https://www.myshiptracking.com/vessels/vessels/smaland-mmsi-255806290-imo-9277321
16,AMPHIRO,https://www.myshiptracking.com/vessels/vessels/amphiro-mmsi-244690573-imo-0
17,POSEIDONE,https://www.myshiptracking.com/vessels/vessels/poseidone-mmsi-247101510-imo-0
18,EJDERN,https://www.myshiptracking.com/vessels/vessels/ejdern-mmsi-265648090-imo-
19,ONNURI,https://www.myshiptracking.com/vessels/vessels/onnuri-mmsi-440452000-imo-9011583
